symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2025-11-24,2025-10-31,1.58,USD
AA,Alcoa Corp,2025-10-22,2025-09-30,0.43,USD
AABVF,AABVF,2025-09-11,2025-07-31,,USD
AACAY,AACAY,2025-11-13,2025-09-30,0.0869,USD
AACTF,AACTF,2025-11-27,2025-09-30,,USD
AAFRF,AAFRF,2025-10-23,2025-09-30,,USD
AAGFF,AAGFF,2025-09-18,2025-08-31,,USD
AAGIY,AAGIY,2025-12-03,2025-09-30,0,USD
AAGRY,AAGRY,2025-11-03,2025-09-30,0,USD
AAHIF,AAHIF,2025-09-22,2025-08-31,,USD
AAIRF,AAIRF,2025-10-27,2025-09-30,,CAD
AAL,American Airlines Group Inc,2025-10-23,2025-09-30,-0.29,USD
AAMI,BrightSphere Investment Group Inc,2025-11-06,2025-09-30,0.75,USD
AAMMF,AAMMF,2025-11-19,2025-09-30,,USD
AANNF,AANNF,2025-11-26,2025-09-30,,USD
AAOI,Applied Optoelectronics Inc,2025-11-06,2025-09-30,-0.0132,USD
AAON,AAON Inc,2025-11-06,2025-09-30,0.375,USD
AAP,Advance Auto Parts Inc,2025-11-13,2025-09-30,0.75,USD
AAPL,Apple Inc,2025-10-30,2025-09-30,1.76,USD
AARTY,AARTY,2025-10-23,2025-09-30,,USD
AAT,American Assets Trust Inc,2025-10-28,2025-09-30,0.09,USD
AAUAF,AAUAF,2025-10-30,2025-09-30,,USD
AAUC,Allied Gold Corporation,2025-11-06,2025-09-30,0.27,USD
AAUCD,AAUCD,2025-11-06,2025-09-30,0.27,USD
AAUGF,AAUGF,2025-10-01,2025-07-31,,CAD
AAVMY,AAVMY,2025-11-12,2025-09-30,,USD
AAVVF,AAVVF,2025-10-23,2025-09-30,0.2991,USD
AAVXF,AAVXF,2025-09-08,2025-06-30,,USD
AAWH,AAWH,2025-11-10,2025-09-30,-0.1,USD
AAYYY,AAYYY,2025-11-12,2025-09-30,,USD
AB,AllianceBernstein Holding Lp,2025-10-23,2025-09-30,0.83,USD
ABBNY,ABBNY,2025-10-16,2025-09-30,0.6526,USD
ABBRF,ABBRF,2025-11-26,2025-09-30,-0.04,USD
ABBV,Abbvie Inc,2025-11-05,2025-09-30,3.27,USD
ABCB,Ameris Bancorp,2025-10-30,2025-09-30,1.48,USD
ABCCF,ABCCF,2025-09-23,2025-06-30,,USD
ABCL,AbCellera Biologics Inc,2025-11-11,2025-09-30,-0.1363,USD
ABDDF,ABDDF,2025-11-24,2025-08-31,,USD
ABEO,Abeona Therapeutics Inc,2025-11-17,2025-09-30,-0.2583,USD
ABEV,Ambev S.A.,2025-10-30,2025-09-30,0.0411,USD
ABG,Asbury Automotive Group Inc,2025-10-28,2025-09-30,6.79,USD
ABGSF,ABGSF,2025-10-16,2025-09-30,,USD
ABLZF,ABLZF,2025-10-16,2025-09-30,0.67,USD
ABMRF,ABMRF,2025-11-12,2025-09-30,0.64,USD
ABNB,Airbnb Inc - Class A,2025-11-06,2025-09-30,2.31,USD
ABOIF,ABOIF,2025-10-27,2025-09-30,,USD
ABOS,Acumen Pharmaceuticals Inc,2025-11-17,2025-09-30,-0.5448,USD
ABR,Arbor Realty Trust Inc,2025-10-24,2025-09-30,0.25,USD
ABSCF,ABSCF,2025-09-30,2025-06-30,,USD
ABSI,Absci Corp,2025-11-05,2025-09-30,-0.2,USD
ABSSF,ABSSF,2025-11-05,2025-09-30,0.02,USD
ABT,Abbott Laboratories,2025-10-15,2025-09-30,1.3,USD
ABUS,Arbutus Biopharma Corp,2025-11-05,2025-09-30,-0.0325,USD
ABVX,Abivax,2025-09-08,2025-06-30,-0.68,USD
AC,AC,2025-11-06,2025-09-30,,USD
ACA,Arcosa Inc,2025-10-29,2025-09-30,1.28,USD
ACAD,Acadia Pharmaceuticals Inc,2025-11-11,2025-09-30,0.1443,USD
ACAZF,ACAZF,2025-10-29,2025-09-30,0.2,USD
ACB,Aurora Cannabis Inc,2025-11-06,2025-09-30,0.0314,USD
ACCFF,ACCFF,2025-11-13,2025-09-30,,USD
ACCMF,ACCMF,2025-11-13,2025-09-30,,USD
ACCO,Acco Brands Corporation,2025-10-30,2025-09-30,0.22,USD
ACCS,ACCESS Newswire Inc,2025-11-11,2025-09-30,0.12,USD
ACCYY,ACCYY,2025-10-30,2025-09-30,0,USD
ACDC,ProFrac Holding Corp Class A,2025-11-06,2025-09-30,-0.3119,USD
ACDVF,ACDVF,2025-10-30,2025-09-30,1.05,USD
ACEJF,ACEJF,2025-11-13,2025-09-30,,USD
ACEL,Accel Entertainment Inc - Class A1,2025-11-11,2025-09-30,0.2092,USD
ACET,Adicet Bio Inc,2025-11-05,2025-09-30,-0.2995,USD
ACGBF,ACGBF,2025-10-30,2025-09-30,0.21,CNY
ACGBY,ACGBY,2025-10-28,2025-09-30,,CNY
ACGL,Arch Capital Group Ltd,2025-10-30,2025-09-30,1.69,USD
ACGLN,Arch Capital Group Ltd,2025-10-28,2025-09-30,,USD
