contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM171117C00075000,IBM,2017-11-17,75.00,call,38.35,72.28,70.45,4,74.10,5,0,0,2017-11-15,4.21478,0.98970,0.00060,-0.31606,0.00298,0.00402
IBM171117P00075000,IBM,2017-11-17,75.00,put,0.00,0.01,0.00,0,0.03,50,0,0,2017-11-15,3.06358,-0.00102,0.00010,-0.02861,0.00037,-0.00001
IBM171117C00080000,IBM,2017-11-17,80.00,call,35.83,67.18,65.15,4,69.20,5,0,0,2017-11-15,3.43431,0.99419,0.00044,-0.15708,0.00180,0.00433
IBM171117P00080000,IBM,2017-11-17,80.00,put,0.00,0.01,0.00,0,0.03,50,0,0,2017-11-15,2.79042,-0.00114,0.00012,-0.02873,0.00041,-0.00001
IBM171117C00085000,IBM,2017-11-17,85.00,call,33.36,62.17,60.30,4,64.05,5,0,0,2017-11-15,3.06358,0.99433,0.00048,-0.13749,0.00176,0.00461
IBM171117P00085000,IBM,2017-11-17,85.00,put,0.00,0.01,0.00,0,0.03,50,0,0,2017-11-15,2.51726,-0.00120,0.00014,-0.02716,0.00043,-0.00001
IBM171117C00090000,IBM,2017-11-17,90.00,call,30.77,57.10,55.25,4,58.95,5,0,0,2017-11-15,0.01976,1.00000,0.00000,-0.00286,0.00000,0.00493
IBM171117P00090000,IBM,2017-11-17,90.00,put,0.01,0.01,0.00,0,0.03,50,0,50,2017-11-15,2.28312,-0.00139,0.00018,-0.02821,0.00049,-0.00001
IBM171117C00095000,IBM,2017-11-17,95.00,call,28.43,52.15,50.25,3,54.05,5,0,0,2017-11-15,2.38067,0.99491,0.00057,-0.09822,0.00160,0.00516
IBM171117P00095000,IBM,2017-11-17,95.00,put,0.02,0.01,0.00,0,0.01,30,0,2927,2017-11-15,2.04897,-0.00154,0.00022,-0.02792,0.00055,-0.00001
IBM171117C00100000,IBM,2017-11-17,100.00,call,0.00,47.23,45.25,4,49.20,5,0,0,2017-11-15,2.43921,0.98706,0.00125,-0.22444,0.00363,0.00537
IBM171117P00100000,IBM,2017-11-17,100.00,put,0.02,0.01,0.00,0,0.01,28,0,1357,2017-11-15,1.81483,-0.00164,0.00027,-0.02612,0.00058,-0.00001
IBM171117C00105000,IBM,2017-11-17,105.00,call,23.47,42.05,40.05,9,44.05,5,0,0,2017-11-15,0.01976,1.00000,0.00000,-0.00334,0.00000,0.00575
IBM171117P00105000,IBM,2017-11-17,105.00,put,0.01,0.01,0.00,0,0.01,16,0,908,2017-11-15,1.60021,-0.00183,0.00034,-0.02547,0.00064,-0.00002
IBM171117C00110000,IBM,2017-11-17,110.00,call,0.00,37.15,35.20,4,39.10,5,0,0,2017-11-15,1.63923,0.99298,0.00109,-0.09061,0.00213,0.00597
IBM171117P00110000,IBM,2017-11-17,110.00,put,0.01,0.01,0.00,0,0.03,50,0,71,2017-11-15,1.40509,-0.00221,0.00045,-0.02651,0.00075,-0.00002
IBM171117C00115000,IBM,2017-11-17,115.00,call,0.00,32.23,30.35,4,34.10,5,0,0,2017-11-15,1.63923,0.98169,0.00252,-0.20398,0.00489,0.00615
IBM171117P00115000,IBM,2017-11-17,115.00,put,0.01,0.01,0.00,0,0.03,31,0,311,2017-11-15,1.20997,-0.00260,0.00061,-0.02649,0.00088,-0.00002
IBM171117C00120000,IBM,2017-11-17,120.00,call,15.89,27.57,26.75,6,28.40,6,0,3,2017-11-15,1.77581,0.94687,0.00560,-0.52679,0.01179,0.00612
IBM171117P00120000,IBM,2017-11-17,120.00,put,0.01,0.01,0.00,0,0.02,46,0,218,2017-11-15,1.01485,-0.00299,0.00083,-0.02518,0.00099,-0.00002
IBM171117C00125000,IBM,2017-11-17,125.00,call,13.44,22.30,21.75,11,22.85,2,0,0,2017-11-15,1.24899,0.96468,0.00572,-0.26850,0.00848,0.00655
IBM171117P00125000,IBM,2017-11-17,125.00,put,0.01,0.01,0.00,0,0.01,30,0,380,2017-11-15,0.81974,-0.00332,0.00112,-0.02235,0.00109,-0.00003
IBM171117C00127000,IBM,2017-11-17,127.00,call,0.00,20.60,19.80,11,21.40,1,0,0,2017-11-15,1.40509,0.92857,0.00891,-0.52529,0.01485,0.00636
IBM171117P00127000,IBM,2017-11-17,127.00,put,0.00,0.01,0.00,0,0.03,33,0,0,2017-11-15,0.76120,-0.00418,0.00149,-0.02554,0.00134,-0.00003
IBM171117C00128000,IBM,2017-11-17,128.00,call,0.00,19.40,18.60,11,20.20,2,0,0,2017-11-15,1.19046,0.94771,0.00824,-0.35015,0.01164,0.00658
IBM171117P00128000,IBM,2017-11-17,128.00,put,0.00,0.01,0.00,0,0.03,29,0,0,2017-11-15,0.72218,-0.00427,0.00160,-0.02469,0.00137,-0.00004
IBM171117C00129000,IBM,2017-11-17,129.00,call,0.00,18.80,17.85,11,19.75,5,0,0,2017-11-15,1.40509,0.90575,0.01098,-0.64638,0.01830,0.00627
IBM171117P00129000,IBM,2017-11-17,129.00,put,0.00,0.01,0.00,0,0.03,25,0,0,2017-11-15,0.68315,-0.00436,0.00172,-0.02377,0.00139,-0.00004
IBM171117C00130000,IBM,2017-11-17,130.00,call,10.76,17.73,16.65,26,18.80,16,0,0,2017-11-15,1.30753,0.90755,0.01163,-0.59329,0.01804,0.00634
IBM171117P00130000,IBM,2017-11-17,130.00,put,0.01,0.01,0.00,0,0.01,1,0,963,2017-11-15,0.64413,-0.00444,0.00185,-0.02277,0.00142,-0.00004
IBM171117C00131000,IBM,2017-11-17,131.00,call,0.00,16.88,15.75,11,18.00,11,0,0,2017-11-15,1.30753,0.89374,0.01288,-0.65646,0.01997,0.00628
IBM171117P00131000,IBM,2017-11-17,131.00,put,0.01,0.01,0.00,0,0.03,16,0,1,2017-11-15,0.60511,-0.00451,0.00200,-0.02168,0.00143,-0.00004
IBM171117C00132000,IBM,2017-11-17,132.00,call,0.00,15.85,14.75,11,16.95,11,0,0,2017-11-15,1.22948,0.89183,0.01388,-0.62548,0.02023,0.00632
IBM171117P00132000,IBM,2017-11-17,132.00,put,0.02,0.01,0.00,0,0.03,16,0,5,2017-11-15,0.56608,-0.00456,0.00216,-0.02052,0.00145,-0.00004
IBM171117C00133000,IBM,2017-11-17,133.00,call,14.45,14.18,14.05,15,14.30,15,1,0,2017-11-15,0.70267,0.97526,0.00757,-0.11492,0.00631,0.00708
IBM171117P00133000,IBM,2017-11-17,133.00,put,0.00,0.01,0.00,0,0.03,12,0,0,2017-11-15,0.54657,-0.00600,0.00286,-0.02526,0.00185,-0.00005
IBM171117C00134000,IBM,2017-11-17,134.00,call,0.00,13.65,12.65,12,14.65,16,0,0,2017-11-15,1.01485,0.89973,0.01591,-0.48957,0.01915,0.00650
IBM171117P00134000,IBM,2017-11-17,134.00,put,0.00,0.01,0.00,0,0.03,12,0,0,2017-11-15,0.50755,-0.00616,0.00315,-0.02400,0.00189,-0.00005
IBM171117C00135000,IBM,2017-11-17,135.00,call,6.78,12.18,12.05,15,12.30,15,0,75,2017-11-15,0.60511,0.97382,0.00922,-0.10423,0.00661,0.00718
IBM171117P00135000,IBM,2017-11-17,135.00,put,0.04,0.01,0.00,0,0.01,3,2,2745,2017-11-15,0.46853,-0.00631,0.00349,-0.02265,0.00194,-0.00005
IBM171117C00136000,IBM,2017-11-17,136.00,call,0.00,11.90,10.75,23,13.05,11,0,0,2017-11-15,1.01485,0.86055,0.02009,-0.61690,0.02417,0.00628
IBM171117P00136000,IBM,2017-11-17,136.00,put,0.00,0.01,0.00,0,0.03,6,0,0,2017-11-15,0.42950,-0.00647,0.00388,-0.02121,0.00198,-0.00005
IBM171117C00137000,IBM,2017-11-17,137.00,call,0.00,10.78,9.75,11,11.80,11,0,0,2017-11-15,0.89778,0.86532,0.02217,-0.53347,0.02360,0.00638
IBM171117P00137000,IBM,2017-11-17,137.00,put,0.00,0.01,0.00,0,0.02,2,0,0,2017-11-15,0.39048,-0.00661,0.00436,-0.01967,0.00202,-0.00005
IBM171117C00138000,IBM,2017-11-17,138.00,call,0.00,9.95,8.80,12,11.10,11,0,0,2017-11-15,0.89778,0.84015,0.02487,-0.59788,0.02648,0.00623
IBM171117P00138000,IBM,2017-11-17,138.00,put,0.00,0.01,0.00,0,0.02,2,0,0,2017-11-15,0.35146,-0.00675,0.00493,-0.01803,0.00206,-0.00005
IBM171117C00139000,IBM,2017-11-17,139.00,call,0.00,8.80,7.75,11,9.85,11,0,0,2017-11-15,0.78071,0.84377,0.02818,-0.51274,0.02608,0.00632
IBM171117P00139000,IBM,2017-11-17,139.00,put,0.01,0.01,0.00,0,0.02,2,0,5,2017-11-15,0.33194,-0.01017,0.00748,-0.02440,0.00295,-0.00008
IBM171117C00140000,IBM,2017-11-17,140.00,call,7.70,7.20,7.10,20,7.30,25,8,226,2017-11-15,0.40999,0.95025,0.02301,-0.11885,0.01118,0.00726
IBM171117P00140000,IBM,2017-11-17,140.00,put,0.02,0.01,0.01,5,0.02,2,13,3848,2017-11-15,0.29292,-0.01086,0.00898,-0.02278,0.00312,-0.00009
IBM171117C00141000,IBM,2017-11-17,141.00,call,0.00,6.50,5.85,16,7.15,16,0,0,2017-11-15,0.52706,0.86579,0.03768,-0.31411,0.02355,0.00662
IBM171117P00141000,IBM,2017-11-17,141.00,put,0.02,0.02,0.01,18,0.03,10,0,42,2017-11-15,0.27341,-0.01761,0.01459,-0.03225,0.00473,-0.00014
IBM171117C00142000,IBM,2017-11-17,142.00,call,0.00,5.57,4.80,16,6.35,40,0,0,2017-11-15,0.48804,0.84051,0.04569,-0.32633,0.02644,0.00647
IBM171117P00142000,IBM,2017-11-17,142.00,put,0.07,0.04,0.01,43,0.08,1,16,189,2017-11-15,0.27341,-0.03948,0.02864,-0.06327,0.00928,-0.00032
IBM171117C00143000,IBM,2017-11-17,143.00,call,0.00,4.22,4.10,15,4.35,15,0,0,2017-11-15,0.27341,0.92073,0.04959,-0.11405,0.01608,0.00719
IBM171117P00143000,IBM,2017-11-17,143.00,put,0.07,0.07,0.03,39,0.10,98,210,92,2017-11-15,0.25390,-0.06465,0.04567,-0.08697,0.01375,-0.00053
IBM171117C00144000,IBM,2017-11-17,144.00,call,2.38,3.27,3.15,15,3.40,15,0,35,2017-11-15,0.25390,0.87412,0.07483,-0.14696,0.02253,0.00687
IBM171117P00144000,IBM,2017-11-17,144.00,put,0.13,0.10,0.08,44,0.12,15,132,362,2017-11-15,0.21487,-0.08834,0.06845,-0.09326,0.01744,-0.00072
