symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
BA,Boeing Company,Equity,United States,09:30,16:00,UTC-04,USD,1.0000
BA.LON,BAE Systems plc,Equity,United Kingdom,08:00,16:30,UTC+01,GBX,0.6667
BA05.LON,BA05,Equity,United Kingdom,08:00,16:30,UTC+01,GBP,0.6667
BA29.LON,BA29,Equity,United Kingdom,08:00,16:30,UTC+01,GBP,0.6667
BA69.LON,BA69,Equity,United Kingdom,08:00,16:30,UTC+01,GBP,0.6667
BA3.FRK,Brooks Automation Inc,Equity,Frankfurt,08:00,20:00,UTC+02,EUR,0.5714
BAAPL,null,Equity,United States,09:30,16:00,UTC-04,USD,0.5714
BAAAAX,Building America Strategy Port CDA USD Ser 21/1Q MNT CASH,Mutual Fund,United States,09:30,16:00,UTC-04,USD,0.5000
BAAAFX,Building America Strgy Portf CDA USD Ser 2022/2Q MNT CASH,Mutual Fund,United States,09:30,16:00,UTC-04,USD,0.5000
BAAA.TRT,Brompton Wellington Square AAA CLO ETF,ETF,Toronto,09:30,16:00,UTC-05,CAD,0.4444
